VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-11252_PSM_0_GE793BI1XF	MSV000079050/ccms_peak/Cyanobacteria/EHu-7I_GA6_01_23229.mzXML	543	1627	2046	Laxaphycin_A_Laxaphycin_A	43	2.0e-88	1195.72	1196.74	250.101	M+H	1	CCCCCC1CC(=O)NC(CCO)C(=O)NC(=CC)C(=O)N2CC(CC2C(=O)NC(CCO)C(=O)NC(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CC(C)C)C(=O)NCC(=O)N1)O	0.00
spectra-03996_PSM_0_1QNZAWLD5P	MSV000079098/raw/GNPS_Cichewicz_Fungi_Collection/Plate64/Provo_CHA2_64D1_GD1_01_695.mzXML	2012	3371	1062	Cyclosporin,_9CI_9-(N-Methyl-L-isoleucine)_analogue	40	6.9e-80	1201.84	1202.84	459.897	M+H	1	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(C(C)CC)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-11252_PSM_3_UCNNQI9MMM	MSV000079050/ccms_peak/Cyanobacteria/EHu-7I_GA6_01_23229.mzXML	1258	2507	498	Laxaphycin_E_Laxaphycin_E	38	2.5e-79	1223.75	1224.78	365.196	M+H	1	CCCCCCCC1CC(=O)NC(CCO)C(=O)NC(=CC)C(=O)N2CC(CC2C(=O)NC(CCO)C(=O)NC(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CC(C)C)C(=O)NCC(=O)N1)O	0.00
spectra-01960_PSM_0_GYWVVA7593	MSV000078937/raw/Samples/ISP2-s-BuOH-P-09_G-11_P1-G-11_01_14871.mzXML	29	391	2384	Telomycin_Telomycin	35	1.3e-73	1271.55	1272.57	142.135	M+H	1	CC(C)C(C1C(=O)N2CCC(C2C(=O)OC(C)C(C(=O)NC(C(C)O)C(=O)NC(C)C(=O)NCC(=O)N2CCC(C2C(=O)NC(=Cc2c[nH]c3ccccc23)C(=O)NC(C(C)c2c[nH]c3ccccc23)C(=O)N1)O)NC(=O)C(CO)NC(=O)CC(C(=O)O)N)O)O	0.00
spectra-07520_PSM_0_WITYGAQNB8	MSV000078937/raw/Samples/ISP2-s-BuOH-P-03_B-5_P1-B-5_01_14292.mzXML	45	454	3494	E'Surugamide_B'	30	6.2e-70	897.605	898.616	163.486	M+H	1	NCCCC[C@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)[C@H](CC)C)Cc1ccccc1)CC(C)C)[C@H](CC)C)[C@H](CC)C)C(C)C	0.00
spectra-01284_PSM_0_KKE2QSOPM5	MSV000079050/raw/Cyanobacteria/EHu-7H_GA5_01_23228.mzXML	660	1736	535	Laxaphycin_B_Laxaphycin_B	40	1.1e-64	1394.84	698.438	264.307	M+2H	2	CCCCCCCC1CC(=O)NC(C(C)C)C(=O)NC(C(C(C)C)O)C(=O)NC(C)C(=O)NC(C(C(C)C)O)C(=O)NC(CCC(=N)O)C(=O)N(C)C(C(C)CC)C(=O)NC(C(C(=N)O)O)C(=O)NC(C(C)O)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)N1	0.00
spectra-03985_PSM_1_9T9N0JC816	MSV000078937/ccms_peak/Samples/ISP2-s-BuOH-P-08_A-9_P1-A-9_01_14695.mzXML	48	410	3495	E'Surugamide_C'	28	5.2e-64	897.605	898.62	148.543	M+H	1	NCCCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)C(C)C)Cc1ccccc1)CC(C)C)[C@H](CC)C)[C@H](CC)C)[C@@H](CC)C	0.00
spectra-10193_PSM_4_JD5WNCYVQY	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate71/Dunn_Cz1_71E10_RE10_01_813.mzXML	1741	2658	1947	Cyclosporin,_9CI_Cyclosporin_B	31	7.8e-60	1187.83	1188.84	360.764	M+H	1	CC=CCC(C)C(C1C(=O)NC(C)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-02351_PSM_5_24QYOR64H7	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate71/Fleming_PDA2_71C4_RC4_01_782.mzXML	2002	3208	1984	Cyclosporin,_9CI_Cyclosporin_C	30	2.0e-59	1217.84	1218.84	432.266	M+H	1	CC=CCC(C)C(C1C(=O)NC(C(C)O)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-01355_PSM_0_L3F2F0FJWT	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate57/Clearwater_SEA1_57D1_RD1_01_599.mzXML	881	1566	1620	Sch_378167_5'-Amide	32	8.3e-58	1136.65	569.331	220.75	M+2H	2	CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(C)C)C(=O)N(C)C(CCC(=O)O)C(=O)OC(C(C)CC)C(=O)NC(Cc2ccccc2)C(=O)N2CCCC2C(=O)NCC(=O)N(C)C(C(C)C)C(=O)N(C)C(CCC(=N)O)C(=O)N1	0.00
