VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
None	MSV000079050/raw/Cyanobacteria/EHu-7I_GA6_01_23229.mzXML	543	1627	2046	Laxaphycin_A_Laxaphycin_A	43	2.0e-88	1195.72	1196.74	250.101	M+H	1	CCCCCC1CC(=O)NC(CCO)C(=O)NC(=CC)C(=O)N2CC(CC2C(=O)NC(CCO)C(=O)NC(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CC(C)C)C(=O)NCC(=O)N1)O	0.00
spectra-05116_PSM_0_285ED7TQ39	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate64/Provo_CHA2_64D1_GD1_01_695.mzXML	2012	3371	4518	[MeThr]4-cyclosporin	41	2.2e-82	1189.8	1202.84	459.897	M+H	1	N1(C(=O)[C@H](N(C(=O)[C@@H](N(C(=O)[C@@H](N(C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)CN(C(=O)[C@H](NC(=O)[C@@H]1[C@@H]([C@@H](C/C=C/C)C)O)CC)C)C)C(O)C)C(C)C)C)CC(C)C)C)C)C)CC(C)C)C)CC(C)C)C)C(C)C)C	0.00
None	MSV000079050/raw/Cyanobacteria/EHu-7I_GA6_01_23229.mzXML	1258	2507	498	Laxaphycin_E_Laxaphycin_E	38	2.5e-79	1223.75	1224.78	365.196	M+H	1	CCCCCCCC1CC(=O)NC(CCO)C(=O)NC(=CC)C(=O)N2CC(CC2C(=O)NC(CCO)C(=O)NC(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CC(C)C)C(=O)NCC(=O)N1)O	0.00
spectra-00068_PSM_0_AYJRZTZNAT	MSV000079098/raw/GNPS_Cichewicz_Fungi_Collection/Plate71/Sapulpa_Cz2_71D8_RD8_01_798.mzXML	2206	3626	4527	Allylgly-cyclosporin	39	8.8e-78	1213.84	1202.86	484.931	M+H	1	N1(C(=O)[C@H](N(C(=O)[C@@H](N(C(=O)[C@@H](N(C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)CN(C(=O)[C@H](NC(=O)[C@@H]1[C@@H]([C@@H](C/C=C/C)C)O)CC=C)C)C)CC(C)C)C(C)C)C)CC(C)C)C)C)C)CC(C)C)C)CC(C)C)C)C(C)C)C	0.00
spectra-05497_PSM_0_4RPLM66KDI	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate57/Reese_Cz1_57C3_RC3_01_589.mzXML	2136	3172	37	Cyclosporin,_9CI_10-(2-Aminobutanoic_acid)_analogue	40	2.2e-77	1187.83	1202.83	428.435	M+H	1	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(CC)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
None	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate71/Cordelia_Cz3_71E3_RE3_01_806.mzXML	2332	3537	1062	Cyclosporin,_9CI_9-(N-Methyl-L-isoleucine)_analogue	38	1.1e-75	1201.84	1202.84	475.691	M+H	1	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(C(C)CC)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-05160_PSM_1_JKG6XQFVEG	MSV000079098/ccms_peak/GNPS_Cichewicz_Fungi_Collection/Plate64/Provo_SDA005_64A10_GA10_01_667.mzXML	1581	2534	2658	Cyclosporin,_9CI_Cyclosporin_V	37	3.8e-74	1215.86	1202.84	348.08	M+H	1	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(CC)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
None	MSV000078937/raw/Samples/ISP2-s-BuOH-P-09_G-11_P1-G-11_01_14871.mzXML	29	391	2384	Telomycin_Telomycin	35	1.3e-73	1271.55	1272.57	142.135	M+H	1	CC(C)C(C1C(=O)N2CCC(C2C(=O)OC(C)C(C(=O)NC(C(C)O)C(=O)NC(C)C(=O)NCC(=O)N2CCC(C2C(=O)NC(=Cc2c[nH]c3ccccc23)C(=O)NC(C(C)c2c[nH]c3ccccc23)C(=O)N1)O)NC(=O)C(CO)NC(=O)CC(C(=O)O)N)O)O	0.00
spectra-12850_PSM_1_HRX8F7A98F	MSV000079098/raw/GNPS_Cichewicz_Fungi_Collection/Plate71/Sapulpa_Cz1_71D7_RD7_01_797.mzXML	2253	3527	2080	Cyclosporin,_9CI_Cyclosporin_E	36	4.8e-72	1187.83	1202.86	471.74	M+H	1	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N1C)O	0.00
None	MSV000078937/raw/Samples/ISP2-s-BuOH-P-03_B-5_P1-B-5_01_14292.mzXML	45	454	3494	E'Surugamide_B'	30	6.2e-70	897.605	898.616	163.486	M+H	1	NCCCC[C@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)[C@H](CC)C)Cc1ccccc1)CC(C)C)[C@H](CC)C)[C@H](CC)C)C(C)C	0.00
